file	min_width	cols_at_min	solutions
A2O1A1Ixp33_ASAP7_75t_R_w6.txt	10	4	1
A2O1A1O1Ixp25_ASAP7_75t_R_w8.txt	14	5	18
AND2x2_ASAP7_75t_R_w6.txt	10	4	1
AND2x4_ASAP7_75t_R_w11.txt	20	8	3
AND2x6_ASAP7_75t_R_w13.txt	24	10	4
AND3x1_ASAP7_75t_R_w6.txt	10	4	1
AND3x2_ASAP7_75t_R_w7.txt	12	5	1
AND3x4_ASAP7_75t_R_w13.txt	20	7	28
AND4x1_ASAP7_75t_R_w7.txt	12	5	1
AND4x2_ASAP7_75t_R_w8.txt	14	6	1
AND5x1_ASAP7_75t_R_w8.txt	14	6	1
AND5x2_ASAP7_75t_R_w16.txt	24	7	36
AO211x2_ASAP7_75t_R_w13.txt	16	6	1000
AO21x1_ASAP7_75t_R_w6.txt	10	4	1
AO21x2_ASAP7_75t_R_w7.txt	12	5	1
AO221x1_ASAP7_75t_R_w9.txt	16	6	2
AO221x2_ASAP7_75t_R_w10.txt	18	7	1
AO222x2_ASAP7_75t_R_w11.txt	20	8	1
AO22x1_ASAP7_75t_R_w8.txt	14	5	54
AO22x2_ASAP7_75t_R_w9.txt	16	6	40
AO31x2_ASAP7_75t_R_w13.txt	24	9	2
AO322x2_ASAP7_75t_R_w12.txt	22	9	1
AO32x1_ASAP7_75t_R_w8.txt	14	6	1
AO32x2_ASAP7_75t_R_w9.txt	16	7	1
AO331x1_ASAP7_75t_R_w10.txt	18	8	1
AO331x2_ASAP7_75t_R_w11.txt	20	9	1
AO332x1_ASAP7_75t_R_w11.txt	20	9	1
AO332x2_ASAP7_75t_R_w12.txt	22	10	1
AO333x1_ASAP7_75t_R_w12.txt	22	10	1
AO333x2_ASAP7_75t_R_w13.txt	24	11	1
AO33x2_ASAP7_75t_R_w10.txt	18	8	1
AOI211x1_ASAP7_75t_R_w11.txt	10	4	480
AOI211xp5_ASAP7_75t_R_w6.txt	10	4	1
AOI21x1_ASAP7_75t_R_w9.txt	16	6	6
AOI21xp33_ASAP7_75t_R_w5.txt	8	3	1
AOI21xp5_ASAP7_75t_R_w5.txt	8	3	1
AOI221x1_ASAP7_75t_R_w13.txt	14	5	1000
AOI221xp5_ASAP7_75t_R_w7.txt	12	5	1
AOI222xp33_ASAP7_75t_R_w9.txt	16	6	2
AOI22x1_ASAP7_75t_R_w11.txt	20	8	28
AOI22xp33_ASAP7_75t_R_w6.txt	10	4	4
AOI22xp5_ASAP7_75t_R_w6.txt	10	4	4
AOI311xp33_ASAP7_75t_R_w7.txt	12	5	1
AOI31xp33_ASAP7_75t_R_w6.txt	10	4	1
AOI31xp67_ASAP7_75t_R_w10.txt	18	7	1
AOI321xp33_ASAP7_75t_R_w8.txt	14	6	1
AOI322xp5_ASAP7_75t_R_w9.txt	16	7	2
AOI32xp33_ASAP7_75t_R_w7.txt	12	5	5
